title,url,source,category,college,location,description,department,specialization,systemGroup
Occupational Therapy faculty,https://chicagostate.peopleadmin.com/postings/15653,IL,Faculty,Chicago State University,"Chicago, IL",,,,
Occupational Therapy Faculty,https://yourfuture.sdbor.edu/postings/46954,SD,Faculty,University of South Dakota,"Vermillion, SD",,,,South Dakota
Ocean Sciences Department: Lecturer Pool,https://recruit.ucsc.edu/JPF01950,UC,Faculty,UC Santa Cruz,"Santa Cruz, CA",,,,California Public
Oculofacial Plastic and Orbital Surgeon (Assistant Professor - Full Professor),https://apply.interfolio.com/138029,NY,Faculty,University of Rochester,"Rochester, NY","Due to continued growth, the Flaum Eye Institute at the University of Rochester Medical Center is recruiting a 2nd Oculofacial Plastic and Orbital Surgeon to augment an already thriving and established service. Applicants should be graduates of an accredited ophthalmology residency program having completed an American Society of Ophthalmic Plastic and Reconstructive Surgery (ASOPRS) Fellowship. Junior level candidates should be board-certified or board eligible. Applicants having an interest in clinical, translational, or basic science research are encouraged to apply. This position includes a generous start-up package commensurate with experience. · &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Walk into established clinical and surgical volumes Applicants should be familiar with all aspects of Oculofacial Plastic and Orbital Surgery including: trauma, pediatrics, reconstructive, cosmetic, neoplastic, orbital and soft tissue disease management. Oculofacial Plastic and Orbital Surgery service includes an oculofacial plastics trained Physician Assistant (PA) Excellent collaborative relationships with Otolaryngology, Plastic and Reconstructive Surgery, Oral/Maxillofacial Surgery, Mohs/Dermatology and Neurosurgery Collaborate with the region’s largest and most complete team of subspecialty ophthalmologists, including ocular oncology, ocular genetics, neuro-ophthalmology, and uveitis · &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Opportunity for participation in clinical and scientific research, including a leading program in thyroid eye disease research · &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Support from and the opportunity to teach within a growing residency program · &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Administrative and technical staff invested in your success and world-leading diagnostic imaging professionals · &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; State-of-art technology – including the ORBYEYE 4K 3D orbital surgical imag",,,New York Public
Oculoplastic/Orbital Surgeon (Open Rank Faculty) — Ophthalmology - 413201,https://unc.peopleadmin.com/postings/308168,NC,Faculty,UNC-Chapel Hill,"Chapel Hill, NC",,Ophthalmology,Ophthalmology,
Office of Faculty,https://www.hmsom.edu/en/faculty,NJ,Faculty,Hackensack Meridian School of Medicine,"Hackensack Meridian School of Medicine, NJ",,,,
Office of Faculty Team,https://www.hmsom.edu/en/faculty/meet-the-team,NJ,Faculty,Hackensack Meridian School of Medicine,"Hackensack Meridian School of Medicine, NJ",,,,
Office of Global Engagement - Non-Tenure Track Faculty Vacancy Pool,https://hr.wwu.edu/careers-faculty?job=502579,WA,Faculty,Western Washington University,"Bellingham, WA",,Non-Tenure Track Faculty Vacancy Pool,Non-Tenure Track Faculty Vacancy Pool,Washington
Office of the Dean of Faculty,https://www.princeton.edu/dof,NJ,Faculty,Princeton University,"Princeton University, NJ",,,,
Office of the Dean of the Faculty,https://www.hmc.edu/dean-of-faculty/dof-staff/,Claremont,Faculty,Harvey Mudd College,,,,,
Oncologic/Abdominal Imaging Faculty FY2526,https://recruit.apo.ucla.edu/JPF10177,UC,Faculty,UCLA,"Los Angeles, CA",,,,California Public
OPEN CALL Chemistry Postdoctoral Researchers,https://aprecruit.ucr.edu/JPF02105,UC,Faculty,UC Riverside,"Riverside, CA",,,,California Public
Open Faculty Positions Focused on Artificial Intelligence Approaches to Radiological Imaging,https://facultypositions.stanford.edu/en-us/job/494720/open-faculty-positions-focused-on-artificial-intelligence-approaches-to-radiological-imaging,CA Private,Faculty,Stanford University,"Stanford University, CA",,,,California Private
Open Faculty Rank - Ben L. Silberstein Institute for Brain Health - Wayne State University.,https://waynetalent.csod.com/ux/ats/careersite/2/home/requisition/3015?c=waynetalent,MI,Faculty,Wayne State University,"Detroit, MI",,Ben L. Silberstein Institute for Brain Health — Wayne State University,Ben L. Silberstein Institute for Brain Health — Wayne State University,
Open Faculty Rank- English,https://waynetalent.csod.com/ux/ats/careersite/2/home/requisition/3133?c=waynetalent,MI,Faculty,Wayne State University,"Detroit, MI",,,,
Open Position - Lecturer of Education,https://recruit.ap.uci.edu/JPF09725,UC,Faculty,UC Irvine,"Irvine, CA",,Education,Education,California Public
Open Positions - Postdoctoral Scholar (2025-26 Pool Ad),https://recruit.ap.uci.edu/JPF09800,UC,Faculty,UC Irvine,"Irvine, CA",,Postdoctoral Scholar (2025-26 Pool Ad),Postdoctoral Scholar (2025-26 Pool Ad),California Public
Open Positions - Postdoctoral Scholar Series,https://recruit.ap.uci.edu/JPF09695,UC,Faculty,UC Irvine,"Irvine, CA",,Postdoctoral Scholar Series,Postdoctoral Scholar Series,California Public
Open Positions - Postdoctoral Scholar Series,https://recruit.ap.uci.edu/JPF09689,UC,Faculty,UC Irvine,"Irvine, CA",,Postdoctoral Scholar Series,Postdoctoral Scholar Series,California Public
Open Positions - Postdoctoral Scholar Series,https://recruit.ap.uci.edu/JPF09692,UC,Faculty,UC Irvine,"Irvine, CA",,Postdoctoral Scholar Series,Postdoctoral Scholar Series,California Public
Open Positions - Postdoctoral Scholar Series,https://recruit.ap.uci.edu/JPF09651,UC,Faculty,UC Irvine,"Irvine, CA",,Postdoctoral Scholar Series,Postdoctoral Scholar Series,California Public
Open Positions - Postdoctoral Scholar Series (UCI MIND) 2025-26,https://recruit.ap.uci.edu/JPF09743,UC,Faculty,UC Irvine,"Irvine, CA",,Postdoctoral Scholar Series (UCI MIND) 2025-26,Postdoctoral Scholar Series (UCI MIND) 2025-26,California Public
Open Postdoctoral Position — Faculty of Arts and Sciences,https://academicpositions.harvard.edu/postings/15406,MA,Faculty,Harvard University,"Harvard University, MA",,Faculty of Arts and Sciences,Faculty of Arts and Sciences,Massachusetts Private
Open Rank - Assistant Dean of Faculty Practice of Nursing,https://unm.csod.com/ux/ats/careersite/18/home/requisition/33013?c=unm,NM,Faculty,University of New Mexico,"Albuquerque, NM",,Assistant Dean of Faculty Practice of Nursing,Assistant Dean of Faculty Practice of Nursing,
Open Rank - Assistant/Associate Professor - Physics and Astronomy,https://unm.csod.com/ux/ats/careersite/18/home/requisition/34194?c=unm,NM,Faculty,University of New Mexico,"Albuquerque, NM",,Assistant/Associate Professor — Physics and Astronomy,Assistant/Associate Professor — Physics and Astronomy,
Open Rank - Assistant/Associate professor in Intercultural Communication,https://unm.csod.com/ux/ats/careersite/18/home/requisition/34199?c=unm,NM,Faculty,University of New Mexico,"Albuquerque, NM",,Intercultural Communication,Intercultural Communication,
"Open Rank - Assistant/Associate Professor of Political Science, Latin American Politics",https://unm.csod.com/ux/ats/careersite/18/home/requisition/34190?c=unm,NM,Faculty,University of New Mexico,"Albuquerque, NM",,"Political Science, Latin American Politics","Political Science, Latin American Politics",
Open rank - Internal Medicine Faculty,https://www.ugajobsearch.com/postings/423440,GA,Faculty,University of Georgia,"Athens, GA",,Internal Medicine,Internal Medicine,Georgia
Open Rank - Postdoctoral or Associate Research Scientist,https://apply.interfolio.com/154256,NY,Faculty,Columbia University,"Columbia University, NY","The Lamont-Doherty Earth Observatory of Columbia University located in Palisades, New York, invites applications for a Postdoctoral or Associate Research Scientist position in computational mineral physics. The position is associated with the project entitled M odel in g&nbsp; E a r th from&nbsp; A tomic to G l obal&nbsp; S cale (MINERALS) funded by the Gordon and Betty Moore Foundation. Successful candidates should be experienced computational materials physicists/scientists with advanced skills in scientific computing. The primary goal of this project is to develop a mineral properties database for geophysical modeling, particularly for the interpretation of seismic tomography models and their geodynamics investigation. Research activities will involve regular communication and collaboration with seismologist and geodynamicists on related aspects of the overall project and with a group of international contributors for database development.&nbsp; &nbsp;",Postdoctoral or Associate Research Scientist,Postdoctoral or Associate Research Scientist,New York Public
OPEN RANK - VISITING FACULTY DEPT OF MATHEMATICS,https://jobs.uiowa.edu/faculty/view/75861,IA,Faculty,University of Iowa,"Iowa City, IA",,VISITING FACULTY DEPT OF MATHEMATICS,VISITING FACULTY DEPT OF MATHEMATICS,Iowa
Open Rank - Visiting Professor of Law/Visiting Associate Professor of Law,https://apply.interfolio.com/169057,NY,Faculty,Columbia University,"Columbia University, NY","The position will teach a full academic load and engage in regular publication of significant scholarly work at Columbia Law School for a period of not more than one year.&nbsp; Period of appointment: Fall term, Spring term, or entire academic year 2026-27.",Law/Visiting Associate Professor of Law,Law/Visiting Associate Professor of Law,New York Public
Open Rank — ASOD Dean&#39;s Office - 430100,https://unc.peopleadmin.com/postings/299580,NC,Faculty,UNC-Chapel Hill,"Chapel Hill, NC",,ASOD Dean&#39;s Office,ASOD Dean&#39;s Office,
"Open Rank (Assistant, Associate or Full) Faculty (Multiple Positions) - Educational Foundations and Counseling Programs",https://cuny.jobs/new-york-ny/open-rank-assistant-associate-or-full-faculty-multiple-positions-educational-foundations-and-counseling-programs/9893A7D9A8354248A5CAF0A1BA8D518D/job/,NY,Faculty,Hunter College,"Hunter College, NY","Open Rank (Assistant, Associate or Full) Faculty (Multiple Positions) - Educational Foundations and Counseling Programs FACULTY VACANCY ANNOUNCEMENT The Department of Educational Foundations and Counseling Programs in Hunter College’s School of Education seeks candidates for two tenure track positions in the social and historical foundations of education, effective Fall 2026. Duties associated with this position include: 1) engaging in research, scholarly writing, and grant work, 2) teaching undergraduate-, graduate-, and doctoral-level courses, 3) serving on program, department, school, college, and university committees, and 4) student advisement. QUALIFICATIONS All candidates must have an earned Ph.D. or Ed.D in Social Foundations of Education, Urban Education, Sociology, or a closely related field. The candidate should have a strong research agenda that relates to important questions about how historical, philosophical, sociocultural, political, economic and international forces shape educational processes, as well as how education shapes society. The candidate must be able to teach undergraduate and graduate-level courses in teacher education and doctoral-level courses in social foundations; experience in teaching in higher education is preferred. As a public urban institution, we also seek candidates who have a demonstrated commitment to work in multicultural and urban settings. Salary will be commensurate with experience and qualifications. COMPENSATION CUNY offers a competitive compensation and benefits package to its faculty, covering health insurance, pension and retirement benefits, paid parental leave, and savings programs. We also provide mentoring and support for research, scholarship, and publication as part of our commitment to ongoing faculty professional development. Compensation for each rank falls within the following salary depending on rank: Assistant Professor: $57,252-$109,025 Associate Professor: $74,249-$129,041 Full Professor : $91,878-$155,388 HOW TO APPLY From our job posting system, select “Apply Now”, create or log in to an account, and provide the requested information. All items to be uploaded must be combined in a single document. If you are viewing this posting from outside our system, access the employment page on our web site and search for this vacancy using the Job ID #31318 or title. Candidates should provide a CV and statement of scholarship interests. CLOSING DATE Open until filled with review beginning on 12/15/2025 JOB SEARCH CATEGORY CUNY Job Posting: Faculty EQUAL EMPLOYMENT OPPORTUNITY CUNY encourages people with disabilities, minorities, veterans and women to apply. At CUNY, Italian Americans are also included among our protected groups. Applicants and employees will not be discriminated against on the basis of any legally protected category, including sexual orientation or gender identity. EEO/AA/Vet/Disability Employer. Job ID: 31318 Location: Hunter College Job Type: Full-Time",Educational Foundations and Counseling Programs,Educational Foundations and Counseling Programs,New York Public
Open Rank (tenure - track) Professor in the Paul G. Allen School of Computer Science & Engineering Paul G. Allen School of Computer Science & Engineering,https://ap.washington.edu/ahr/position-details/?job_id=168938,WA,Faculty,University of Washington,"Seattle, WA",,the Paul G. Allen School of Computer Science & Engineering Paul G. Allen School of Computer Science & Engineering,the Paul G. Allen School of Computer Science & Engineering Paul G. Allen School of Computer Science & Engineering,Washington
Open Rank Assistant or Associate Professor - Nursing,https://jobs.hr.ewu.edu/postings/14457,WA,Faculty,Eastern Washington University,"Cheney, WA",,Nursing,Nursing,Washington
"Open Rank Assistant, Associate or Full Professor - Physical Therapy",https://jobs.hr.ewu.edu/postings/14455,WA,Faculty,Eastern Washington University,"Cheney, WA",,Physical Therapy,Physical Therapy,Washington
OPEN RANK Assistant/Associate/Full Professor of Diagnostic Imaging,https://www.ugajobsearch.com/postings/421553,GA,Faculty,University of Georgia,"Athens, GA",,Diagnostic Imaging,Diagnostic Imaging,Georgia
Open Rank Assistant/Associate/Professor and Graduate Program Director for Special Education,https://www.schooljobs.com/careers/manhattanedu/FTFaculty/jobs/5156108/open-rank-assistant-associate-professor-and-graduate-program-director-for-special,NY,Faculty,Manhattan University,"Manhattan University, NY",,,,New York Public
Open Rank Clinical Faculty Member in Emergency Medicine and Critical Care Emergency Medicine,https://ap.washington.edu/ahr/position-details/?job_id=177871,WA,Faculty,University of Washington,"Seattle, WA",,,,Washington
"Open Rank Clinical Practice Faculty Position, Department of Pediatrics, Division of Bioethics & Palliative Care Pediatrics, Bioethics",https://ap.washington.edu/ahr/position-details/?job_id=163477,WA,Faculty,University of Washington,"Seattle, WA",,,,Washington
"Open Rank Clinical Practice Faculty Position, Department of Pediatrics, Division of Cardiac Intensive Care Pediatrics, Cardiac Intensive Care",https://ap.washington.edu/ahr/position-details/?job_id=175779,WA,Faculty,University of Washington,"Seattle, WA",,,,Washington
"Open Rank Clinical Practice Faculty Position, Department of Pediatrics, Division of Critical Care Medicine Pediatrics, Critical Care Medicine",https://ap.washington.edu/ahr/position-details/?job_id=172733,WA,Faculty,University of Washington,"Seattle, WA",,,,Washington
"Open Rank Clinical Practice Faculty Position, Department of Pediatrics, Division of General Pediatrics and Pediatric Sports Medicine Pediatrics, General Pediatrics",https://ap.washington.edu/ahr/position-details/?job_id=156326,WA,Faculty,University of Washington,"Seattle, WA",,,,Washington
"Open Rank Clinical Practice Faculty Position, Department of Pediatrics, Division of Pulmonary & Sleep Medicine Pediatrics, Pulmonary & Sleep Medicine",https://ap.washington.edu/ahr/position-details/?job_id=163347,WA,Faculty,University of Washington,"Seattle, WA",,,,Washington
"Open Rank Clinical Practice Faculty Position, Department of Pediatrics, Division of Pulmonary and Sleep Medicine Pediatrics, Pulmonary & Sleep Medicine",https://ap.washington.edu/ahr/position-details/?job_id=150891,WA,Faculty,University of Washington,"Seattle, WA",,,,Washington
"Open Rank Continuing Track Faculty, Medical and Molecular Sciences",https://careers.udel.edu/cw/en-us/job/502473/open-rank-continuing-track-faculty-medical-and-molecular-sciences,DE,Faculty,University of Delaware,"Newark, DE",,,,
Open Rank Faculty,https://jobs.rutgers.edu/postings/269161,NJ,Faculty,"Rutgers, The State University of New Jersey","New Brunswick, NJ",,,,
Open Rank Faculty,https://jobs.rutgers.edu/postings/266141,NJ,Faculty,"Rutgers, The State University of New Jersey","New Brunswick, NJ",,,,
Open Rank Faculty,https://indiana.peopleadmin.com/postings/31781,IN,Faculty,Indiana University,"Bloomington, IN",,,,Indiana
Open Rank Faculty - Clinical Laboratory & Medical Imaging Sciences,https://jobs.rutgers.edu/postings/266371,NJ,Faculty,"Rutgers, The State University of New Jersey","New Brunswick, NJ",,Clinical Laboratory & Medical Imaging Sciences,Clinical Laboratory & Medical Imaging Sciences,
Open Rank Faculty - Physician Assistant Program,https://jobs.rutgers.edu/postings/268893,NJ,Faculty,"Rutgers, The State University of New Jersey","New Brunswick, NJ",,Physician Assistant Program,Physician Assistant Program,
Open Rank Faculty - Psychiatric Rehabilitation and Counseling Professions,https://jobs.rutgers.edu/postings/266139,NJ,Faculty,"Rutgers, The State University of New Jersey","New Brunswick, NJ",,Psychiatric Rehabilitation and Counseling Professions,Psychiatric Rehabilitation and Counseling Professions,
"Open Rank Faculty - Sensors, Microelectronics and AI Hardware",https://www.ugajobsearch.com/postings/466556,GA,Faculty,University of Georgia,"Athens, GA",,"Sensors, Microelectronics and AI Hardware","Sensors, Microelectronics and AI Hardware",Georgia
Open Rank Faculty - Smart & Resilient Infrastructure,https://www.ugajobsearch.com/postings/459985,GA,Faculty,University of Georgia,"Athens, GA",,Smart & Resilient Infrastructure,Smart & Resilient Infrastructure,Georgia
Open Rank Faculty - Translational Metabolic Engineering & Neurotherapeutics,https://www.ugajobsearch.com/postings/465277,GA,Faculty,University of Georgia,"Athens, GA",,Translational Metabolic Engineering & Neurotherapeutics,Translational Metabolic Engineering & Neurotherapeutics,Georgia
Open Rank Faculty - Variable Track — Med-Infectious Diseases - 411460,https://unc.peopleadmin.com/postings/312831,NC,Faculty,UNC-Chapel Hill,"Chapel Hill, NC",,Med-Infectious Diseases,Med-Infectious Diseases,
Open Rank Faculty — Med-Pulmonary - 411480,https://unc.peopleadmin.com/postings/312749,NC,Faculty,UNC-Chapel Hill,"Chapel Hill, NC",,Med-Pulmonary,Med-Pulmonary,
Open Rank Faculty & Medical Educator,https://www.ugajobsearch.com/postings/457254,GA,Faculty,University of Georgia,"Athens, GA",,,,Georgia
Open Rank Faculty in Aerospace Optimization,https://jobs.apply.vt.edu/jobs/open-rank-faculty-in-aerospace-optimization-blacksburg-virginia-virginia-united-states,VA,Faculty,Virginia Tech,"Blacksburg, VA",,,,
Open Rank Faculty in Veterinary Anesthesia and Pain Management,https://illinois.csod.com/ux/ats/careersite/1/home/requisition/14826?c=illinois,IL,Faculty,University of Illinois Urbana-Champaign,"Champaign, IL",,,,
Open Rank Faculty Member in Emergency Medicine and Critical Care Emergency Medicine,https://ap.washington.edu/ahr/position-details/?job_id=177694,WA,Faculty,University of Washington,"Seattle, WA",,,,Washington
Open Rank Faculty Position - Criminal Justice,https://jobs.ncat.edu/postings/39582,NC,Faculty,North Carolina A&T State University,"Greensboro, NC",,Criminal Justice,Criminal Justice,
Open Rank Faculty Position — Radiation Oncology-Chapel Hill - 413002,https://unc.peopleadmin.com/postings/312081,NC,Faculty,UNC-Chapel Hill,"Chapel Hill, NC",,Radiation Oncology-Chapel Hill,Radiation Oncology-Chapel Hill,
Open Rank Faculty Position Artificial Intelligence in Biological Sciences,https://jobs.utdallas.edu/postings/30796,TX,Faculty,University of Texas at Dallas,"Richardson, TX",,,,Texas
"Open Rank Faculty Position Clinician Scholar Track (WOT) in Dermatology, Department of Dermatology Dermatology",https://ap.washington.edu/ahr/position-details/?job_id=156481,WA,Faculty,University of Washington,"Seattle, WA",,,,Washington
Open Rank Faculty Position in Aerospace Engineering,https://apply.interfolio.com/171404,NY,Faculty,Columbia University,"Columbia University, NY","The Columbia University School of Engineering and Applied Science (SEAS) welcomes applications for a tenure-track faculty position at any rank, in the broad field of Aerospace Engineering. Areas of emphasis include, but are not limited to: spacecraft design and engineering, autonomous flight systems, smart/adaptive materials for aerospace systems, hypersonic materials, generative AI for aerospace systems, remote sensing and communications, hypersonic fluid dynamics and control, advanced and sustainable propulsion systems, extraterrestrial exploration, bioastronautics, aerospace medicine, and life support systems. Aerospace systems of interest range from spacecraft and satellites to commercial transportation, EVTOLS, drones, and novel flight systems. Candidates are additionally encouraged to consider the intersection of their proposed areas of research with departmental- and school-wide initiatives relating to energy and sustainability, biomechanics, nano/micro technology, medicine, and artificial intelligence. Candidates should demonstrate a strong history and track record in the Aerospace discipline.",,,New York Public
Open Rank Faculty Position in Artificial Intelligence Psychological Science,https://jobs.utdallas.edu/postings/30454,TX,Faculty,University of Texas at Dallas,"Richardson, TX",,,,Texas
Open Rank Faculty Position in Computer Science: Artificial Intelligence and Machine Learning,https://recruit.ap.uci.edu/JPF09880,UC,Faculty,UC Irvine,"Irvine, CA",,,,California Public
Open Rank Faculty Position in Computer Science: Systems,https://recruit.ap.uci.edu/JPF09879,UC,Faculty,UC Irvine,"Irvine, CA",,,,California Public
Open Rank Faculty Position in Electrical & Computer Engineering 2025-2026 - UCLA,https://recruit.apo.ucla.edu/JPF10727,UC,Faculty,UCLA,"Los Angeles, CA",,UCLA,UCLA,California Public
Open Rank Faculty Position in Healthcare Operations and Business Analytics,https://jobs.apply.vt.edu/jobs/open-rank-faculty-position-in-healthcare-operations-and-business-analytics-roanoke-virginia-virginia-united-states,VA,Faculty,Virginia Tech,"Blacksburg, VA",,,,
Open Rank Faculty Position in Industrial Engineering and Operations Research,https://apply.interfolio.com/171402,NY,Faculty,Columbia University,"Columbia University, NY","Columbia Engineering invites applications for an open rank faculty position in the Department of Industrial Engineering and Operations Research, starting July 1, 2026. Appointments will be made at the Assistant Professor, Associate Professor (without tenure), tenured Associate Professor, or tenured Professor rank, depending on the applicant's qualifications. The position is open to exceptional applicants in all areas of operations research and management science. We welcome candidates with research interests in the foundations of optimization and probability, including their intersections with machine learning, artificial intelligence, and data science. Candidates with strong methodological training and research interests in application-driven areas such as healthcare, energy, public sector OR, sustainability, networks, transportation, supply chains, service platforms, and finance are especially encouraged to apply.",,,New York Public
Open Rank Faculty Position in Lifespan Cognitive Neuroscience,https://jobs.utdallas.edu/postings/30507,TX,Faculty,University of Texas at Dallas,"Richardson, TX",,,,Texas
Open Rank Faculty Position in Materials Science & Engineering 2025-2026,https://recruit.apo.ucla.edu/JPF10728,UC,Faculty,UCLA,"Los Angeles, CA",,,,California Public
Open Rank Faculty Position in Materials Science and Engineering,https://apply.interfolio.com/171561,NY,Faculty,Columbia University,"Columbia University, NY","Columbia Engineering invites applications for one or more tenured or tenure-track faculty positions. Appointments at the Assistant Professor, Associate Professor, or Full Professor rank will be considered. Applications are specifically sought in any area encompassing materials science and engineering, and their intersections with advanced manufacturing and fabrication, energy, health, sustainability, and materials for extreme environments. Novel material designs, leveraging artificial intelligence and advanced experimental techniques and material characterization, are of particular interest, as are cross-cutting efforts involving material design, synthesis, and fabrication at the intersections with Columbia Engineering Initiatives and Centers, the Sciences, the Climate and Medical Schools, and the Data Science Institute.",,,New York Public
Open Rank Faculty Position in Neuroimaging of Brain Health,https://jobs.utdallas.edu/postings/30539,TX,Faculty,University of Texas at Dallas,"Richardson, TX",,,,Texas
Open Rank Faculty Position in Operations Management,https://jobs.utdallas.edu/postings/30800,TX,Faculty,University of Texas at Dallas,"Richardson, TX",,,,Texas
"Open Rank Faculty Position in School of Engineering, Design",https://facultypositions.stanford.edu/en-us/job/494901/open-rank-faculty-position-in-school-of-engineering-design,CA Private,Faculty,Stanford University,"Stanford University, CA",,,,California Private
Open Rank Faculty Position on the Tenure Track,https://jobs.rutgers.edu/postings/266086,NJ,Faculty,"Rutgers, The State University of New Jersey","New Brunswick, NJ",,,,
"Open Rank Faculty Position Without Tenure (WOT), Department of Pediatrics, Center for Immunity and Immunotherapies Pediatrics",https://ap.washington.edu/ahr/position-details/?job_id=92489,WA,Faculty,University of Washington,"Seattle, WA",,,,Washington
"Open Rank Faculty Position Without Tenure (WOT), Department of Pediatrics, Division of Critical Care Medicine Pediatrics, Critical Care Medicine",https://ap.washington.edu/ahr/position-details/?job_id=129298,WA,Faculty,University of Washington,"Seattle, WA",,,,Washington
"Open Rank Faculty Position Without Tenure (WOT), Department of Pediatrics, Division of Gastroenterology & Hepatology Pediatrics, Gastroenterology & Hepatology",https://ap.washington.edu/ahr/position-details/?job_id=154704,WA,Faculty,University of Washington,"Seattle, WA",,,,Washington
"Open Rank Faculty Position Without Tenure (WOT), Department of Pediatrics, Division of Pulmonary & Sleep Medicine Pediatrics, Pulmonary & Sleep Medicine",https://ap.washington.edu/ahr/position-details/?job_id=163365,WA,Faculty,University of Washington,"Seattle, WA",,,,Washington
"Open Rank Faculty Position without Tenure (WOT), Department of Radiation Oncology Radiation Oncology",https://ap.washington.edu/ahr/position-details/?job_id=166451,WA,Faculty,University of Washington,"Seattle, WA",,,,Washington
"Open Rank Faculty Position without tenure, Department of Pediatrics, Division of Pulmonary and Sleep Medicine Pediatrics, Pulmonary & Sleep Medicine",https://ap.washington.edu/ahr/position-details/?job_id=148238,WA,Faculty,University of Washington,"Seattle, WA",,,,Washington
"Open Rank Faculty Position- Assistant, Associate, or Full Professor (Division of Operative Dentistry)",https://apply.interfolio.com/178298,NY,Faculty,Columbia University,"Columbia University, NY","Columbia University, College of Dental Medicine (CDM) welcomes applicants interested in an academic position in the Section of Cariology and Restorative Sciences, Division of Operative Dentistry. &nbsp; &nbsp; Responsibilities may include but not limited to: &nbsp; Supervision in teaching and predoctoral clinics Developing and teaching didactic and clinical courses Patient care coverage in faculty practice locations Research and scholarly activity &nbsp; Candidate will contribute to the diversity and excellence of the academic community. &nbsp; &nbsp; &nbsp; Applicants should submit a letter of interest, CV and five references name and contact information. &nbsp; &nbsp;",,,New York Public
Open Rank Faculty Position: Assistant Professor / Associate Professor / Professor (Health and Human Rights),https://apply.interfolio.com/177412,NY,Faculty,Columbia University,"Columbia University, NY","The Heilbrunn Department of Population and Family Health (HDPFH) at Columbia University Mailman School of Public Health is a vibrant and interdisciplinary department comprising of faculty, scientists, thought leaders, and practitioners from the fields of public health, epidemiology, demography, social work, medicine, economics, and law. We apply multidisciplinary population science and public health research methods to address critical domestic and global challenges, including sexual and reproductive health rights, forced migration, child and adolescent health, maternal and newborn health, mental health, environmental justice, human rights, and complex health systems. The Department’s current research portfolio totals $21 million in multi-year committed awards from private foundations and federal funding sources, internal grants, service agreements and gifts to support both international and U.S. based research, service, and program. The Department works to shift global health policy and practice to improve health systems and health outcomes for populations in low-income, unstable, or inequitable environments worldwide. Faculty in this largely grant-funded department engage in a unique combination of research, teaching and service activities. Graduates of the Department pursue careers as research scientists, non-profit leaders, and public health practitioners and evaluators who actively contribute to scientific developments and assume important academic posts and public health leadership globally. The HDPFH is recruiting for a candidate with experience in health and human rights. The successful applicant will build an independent research portfolio with strong scholarly contributions, secure external research funding, and gain national and international recognition at the intersection of global public health and international human rights law and practice. We seek candidates who will help to further develop the Department and School's research, educational, and poli",,,New York Public
Open Rank Faculty Position: Assistant Professor / Associate Professor / Professor of Population and Family Health,https://apply.interfolio.com/175747,NY,Faculty,Columbia University,"Columbia University, NY","The Heilbrunn Department of Population and Family Health (HDPFH) at Columbia University Mailman School of Public Health is a dynamic, interdisciplinary Department of faculty, scientists, thought leaders, and practitioners working across public health, epidemiology, demography, social work, medicine, economics, and law. We apply multidisciplinary population science and public health research methods - alongside service-delivery - to address critical domestic and global challenges, including sexual and reproductive health rights, forced migration, child and adolescent health, maternal and newborn health, mental health, environmental justice, social and gender norms, human rights, and complex health systems. Faculty in this largely grant-funded department engage in a unique combination of research, teaching and service activities. Graduates of the Department pursue careers as research scientists, NGO leaders, public health practitioners, and evaluators who actively contribute to the scientific literature and assume important academic posts and public health leadership globally. Housed in the Heilbrunn Department of Population and Family Health, the Program on Forced Migration and Health is one of the world's leading programs for training health and humanitarian response workers. At its founding in 1998, our program was one of the first academic programs in the world to address the deficiencies in health services provided in humanitarian response. Today, we continue to champion a professionalized and critical approach to delivering humanitarian action and are committed to educating the next generation of humanitarian leadership. Through our research and education, we seek to create an evidence-based humanitarian sector anchored in the voices and decision-making of those most impacted by conflict and displacement and founded on a framework of justice, rights, and accountability. The Department seeks a faculty member to serve as Program Director for the Program on Forced ",Population and Family Health,Population and Family Health,New York Public
"Open Rank Faculty Position: Assistant, Associate, or Full Professor (Division of Periodontics)",https://apply.interfolio.com/178370,NY,Faculty,Columbia University,"Columbia University, NY","Columbia University, College of Dental Medicine (CDM) welcomes applicants interested in an academic position in the Section of Oral, Diagnostic and Rehabilitation Sciences, Division of Periodontics. Responsibilities may include but not limited to:&nbsp; Supervision in teaching and predoctoral clinics Coverage in postdoctoral an predoctoral periodontics clinics Developing and teaching didactic and clinical courses Patient care coveage in faculty practice locations.&nbsp; Research / and scholarly activity &nbsp; Candidate will contribute to the diversity and excellence of the academic community.&nbsp; &nbsp;",,,New York Public
Open Rank Faculty Positions in Accounting,https://jobs.utdallas.edu/postings/30807,TX,Faculty,University of Texas at Dallas,"Richardson, TX",,,,Texas
Open Rank Faculty Positions in Clinical Psychological Science,https://jobs.utdallas.edu/postings/30679,TX,Faculty,University of Texas at Dallas,"Richardson, TX",,,,Texas
Open Rank faculty positions in Computational Neuroscience,https://jobs.utdallas.edu/postings/30846,TX,Faculty,University of Texas at Dallas,"Richardson, TX",,,,Texas
